Match ID,Map,Player,K,D,+/-,Ults,FK Diff,Rating,Hero-Ratings,Show K-D(U)
3406,Hanamura,Philadelphia Fusion,Dayfly,neptuNo,Carpe,Eqo,HOTBA,SADO
3406,Junkertown,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
3406,Junkertown,Philadelphia Fusion,neptuNo,Carpe,Eqo,Boombox,HOTBA,SADO
3406,Lijiang Tower,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
3406,Lijiang Tower,Philadelphia Fusion,neptuNo,Carpe,Poko,Eqo,Boombox,SADO
3406,Eichenwalde,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
3406,Eichenwalde,Philadelphia Fusion,neptuNo,Carpe,Eqo,Boombox,HOTBA,SADO
3406,Hanamura,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
3405,Hanamura,Philadelphia Fusion,Dayfly,Carpe,Eqo,Boombox,HOTBA,SADO
3405,Junkertown,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
3405,Junkertown,Philadelphia Fusion,neptuNo,Carpe,Eqo,Boombox,HOTBA,SADO
3405,Lijiang Tower,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
3405,Lijiang Tower,Philadelphia Fusion,neptuNo,Carpe,Poko,Eqo,Boombox,SADO
3405,King's Row,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
3405,King's Row,Philadelphia Fusion,neptuNo,Carpe,Poko,Eqo,Boombox,SADO
3405,Hanamura,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
3407,King's Row,London Spitfire,Birdring,Closer,Fury,Gesture,Profit,Bdosin
3407,Junkertown,Los Angeles Gladiators,Surefour,iRemiix,Shaz,Hydration,Bischu,BigG00se
3407,Junkertown,London Spitfire,Birdring,Closer,Fury,Gesture,Profit,Bdosin
3407,Lijiang Tower,Los Angeles Gladiators,Surefour,iRemiix,Shaz,Hydration,Void,BigG00se
3407,Lijiang Tower,London Spitfire,Birdring,Closer,Fury,Gesture,Profit,Bdosin
3407,King's Row,Los Angeles Gladiators,Surefour,iRemiix,Shaz,silkthread,Void,BigG00se
3404,Volskaya Industries,Philadelphia Fusion,neptuNo,Carpe,Eqo,Boombox,HOTBA,SADO
3404,Dorado,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
3404,Dorado,Philadelphia Fusion,neptuNo,Carpe,Eqo,Boombox,HOTBA,SADO
3404,Oasis,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
3404,Oasis,Philadelphia Fusion,neptuNo,Carpe,Poko,Eqo,Boombox,SADO
3404,Eichenwalde,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
3404,Eichenwalde,Philadelphia Fusion,neptuNo,Carpe,Poko,Eqo,HOTBA,SADO
3404,Volskaya Industries,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
2681,Blizzard World,Los Angeles Valiant,Custa,Agilities,SoOn,Kariv,Space,FaTe
2681,Dorado,New York Excelsior,MekO,Pine,Libero,Mano,ArK,JJoNak
